SeniorCity,Partner,Dependents,Service1,Service2,Security,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,InternetService,AutoPayment_flag,Charges,Contract_months,PaymentMethod_simple,Demand,Class_flag
0,1,0,0,0,0,1,0,0,1,1,0,29.85,1,Electronic check,29.85,0
0,0,0,1,0,1,0,1,0,0,1,0,56.95,12,Mailed check,1889.5,0
0,0,0,1,0,1,1,0,0,1,1,0,53.85,1,Mailed check,108.15,1
0,0,0,0,0,1,0,1,1,0,1,1,42.3,12,Automatic,1840.75,0
0,0,0,1,0,0,0,0,0,1,1,0,70.7,1,Electronic check,151.65,1
0,0,0,1,1,0,0,1,0,1,1,0,99.65,1,Electronic check,820.5,1
0,0,1,1,1,0,1,0,0,1,1,1,89.1,1,Automatic,1949.4,0
0,0,0,0,0,1,0,0,0,0,1,0,29.75,1,Mailed check,301.9,0
0,1,0,1,1,0,0,1,1,1,1,0,104.8,1,Electronic check,3046.05,1
0,0,1,1,0,1,1,0,0,0,1,1,56.15,12,Automatic,3487.95,0
0,1,1,1,0,1,0,0,0,1,1,0,49.95,1,Mailed check,587.45,0
0,0,0,1,0,0,0,0,0,0,0,1,18.95,24,Automatic,326.8,0
0,1,0,1,1,0,0,1,0,0,1,1,100.35,12,Automatic,5681.1,0
0,0,0,1,1,0,1,1,0,1,1,1,103.7,1,Automatic,5036.3,1
0,0,0,1,0,1,0,1,1,1,1,0,105.5,1,Electronic check,2686.05,0
0,1,1,1,1,1,1,1,1,0,1,1,113.25,24,Automatic,7895.15,0
0,0,0,1,0,0,0,0,0,0,0,0,20.65,12,Mailed check,1022.95,0
0,0,1,1,1,1,0,1,0,0,1,1,106.7,24,Automatic,7382.25,0
0,1,1,1,0,0,0,1,1,0,1,1,55.2,1,Automatic,528.35,1
0,0,0,1,0,0,1,1,0,1,1,0,90.05,1,Electronic check,1862.9,0
1,0,0,0,0,0,0,1,0,1,1,0,39.65,1,Electronic check,39.65,1
0,1,0,1,0,0,0,0,0,0,0,1,19.8,12,Automatic,202.25,0
0,0,0,1,0,0,0,0,0,0,0,0,20.15,1,Mailed check,20.15,1
0,1,0,1,1,0,1,0,1,1,1,1,59.9,24,Automatic,3505.1,0
0,1,1,1,0,1,1,0,1,0,1,1,59.6,1,Automatic,2970.3,0
0,0,0,1,0,1,1,0,0,1,1,1,55.3,1,Automatic,1530.6,0
0,1,1,1,1,0,1,0,0,1,1,0,99.35,1,Electronic check,4749.15,1
0,1,1,0,0,0,1,0,0,0,1,0,30.2,1,Electronic check,30.2,1
0,1,0,1,1,1,1,1,1,1,1,1,90.25,24,Automatic,6369.45,0
0,0,1,1,0,0,0,0,0,1,1,0,64.7,1,Mailed check,1093.1,1
1,1,0,1,1,1,1,1,1,1,1,1,96.35,24,Automatic,6766.95,0
1,1,0,1,0,0,0,1,0,1,1,1,95.5,1,Automatic,181.65,0
0,1,1,1,0,1,1,1,1,0,1,0,66.15,12,Mailed check,1874.45,0
0,0,0,1,0,0,0,0,0,0,0,1,20.2,1,Automatic,20.2,0
1,0,0,1,0,0,0,0,0,0,1,1,45.25,1,Automatic,45.25,0
0,1,1,1,1,1,1,0,1,0,1,1,99.9,24,Automatic,7251.7,0
0,0,0,1,0,0,0,0,0,1,1,0,69.7,1,Electronic check,316.9,1
0,0,0,1,0,0,0,1,0,1,1,1,74.8,1,Automatic,3548.3,0
0,0,0,1,1,0,1,1,0,1,1,0,106.35,1,Electronic check,3549.25,1
0,0,0,1,1,0,0,1,0,1,1,1,97.85,1,Automatic,1105.4,1
0,1,1,1,0,0,1,0,0,0,1,0,49.55,12,Mailed check,475.7,0
0,1,1,1,1,1,1,0,0,1,1,1,69.2,24,Automatic,4872.35,0
0,1,1,1,0,0,0,0,0,0,0,0,20.75,12,Mailed check,418.25,0
0,0,0,1,1,1,1,1,1,1,1,1,79.85,24,Automatic,4861.45,0
0,1,0,1,1,1,1,0,1,1,1,0,76.2,1,Electronic check,981.45,0
0,0,0,1,1,0,0,0,0,1,1,0,84.5,1,Electronic check,3906.7,0
0,0,0,1,0,0,1,0,0,0,1,0,49.25,1,Mailed check,97.0,0
0,0,0,1,0,0,0,0,0,1,1,0,80.65,1,Electronic check,144.15,1
0,0,0,1,1,1,0,0,1,1,1,1,79.75,24,Automatic,4217.8,0
0,1,1,1,1,1,0,1,1,1,1,1,64.15,24,Automatic,4254.1,0
1,0,0,1,1,0,1,0,0,1,1,0,90.25,1,Electronic check,3838.75,0
0,0,0,1,0,1,1,0,0,1,1,1,99.1,1,Automatic,1426.4,1
1,1,0,1,1,1,0,0,1,1,1,1,69.5,1,Automatic,1752.65,0
1,1,0,1,1,0,1,0,0,1,1,1,80.65,1,Automatic,633.3,1
1,1,1,1,0,1,1,1,1,1,1,1,74.85,12,Automatic,4456.35,0
1,0,0,1,1,0,0,0,0,1,1,0,95.45,1,Electronic check,1752.55,1
0,1,1,1,1,1,0,0,0,1,1,1,99.65,12,Automatic,6311.2,0
1,1,1,1,1,0,1,1,1,1,1,0,108.45,12,Electronic check,7076.35,0
0,1,1,1,1,0,0,0,0,0,0,1,24.95,24,Automatic,894.3,0
0,0,0,1,1,0,0,1,1,1,1,1,107.5,24,Automatic,7853.7,0
0,1,0,1,1,0,0,1,0,1,1,0,100.5,1,Electronic check,4707.1,0
0,0,0,1,1,0,1,0,0,1,1,1,89.9,1,Automatic,5450.7,0
0,1,0,0,0,1,1,1,0,0,1,1,42.1,24,Automatic,2962.0,0
0,1,1,1,0,0,0,1,1,1,1,1,54.4,12,Automatic,957.1,0
0,0,0,1,1,0,0,0,0,0,1,0,94.4,1,Electronic check,857.25,1
0,0,0,1,0,0,1,0,1,1,1,0,75.3,1,Electronic check,244.1,0
0,1,0,1,1,0,1,0,0,1,1,0,78.9,12,Electronic check,3650.35,0
0,0,0,1,0,0,1,1,1,0,1,0,79.2,24,Mailed check,2497.2,0
0,1,1,1,0,0,0,0,0,0,0,1,20.15,24,Automatic,930.9,0
0,0,0,1,0,1,0,1,0,1,1,0,79.85,1,Mailed check,887.35,0
0,0,0,1,0,0,0,0,1,0,1,0,49.05,1,Mailed check,49.05,0
0,1,1,1,0,0,0,0,0,1,0,0,20.4,12,Electronic check,1090.65,0
1,1,1,1,1,1,0,1,1,1,1,1,111.6,24,Automatic,7099.0,0
0,1,1,1,1,0,0,0,0,1,0,1,24.25,24,Automatic,1424.6,0
0,0,1,1,0,1,0,0,1,1,1,1,64.5,1,Automatic,177.4,0
1,0,0,1,1,1,1,1,0,0,1,0,110.5,12,Electronic check,6139.5,0
0,0,0,1,0,0,0,0,0,0,1,1,55.65,12,Automatic,2688.85,0
0,1,1,1,0,1,1,0,0,0,1,0,54.65,1,Mailed check,482.25,0
1,0,0,1,0,1,1,0,0,1,1,0,74.75,1,Electronic check,2111.3,0
0,1,1,1,1,0,0,0,0,1,0,1,25.9,12,Automatic,1216.6,0
0,0,1,1,0,0,0,0,0,1,1,0,79.35,1,Electronic check,79.35,1
0,1,1,0,0,1,0,0,0,0,1,0,50.55,1,Electronic check,565.35,0
0,1,0,1,0,0,0,1,0,1,1,1,75.15,1,Automatic,496.9,1
0,0,0,1,0,0,1,1,1,1,1,1,103.8,1,Automatic,4327.5,0
0,1,0,1,0,0,0,0,0,1,0,1,20.15,24,Automatic,973.35,0
0,0,0,1,1,0,1,0,0,1,1,1,99.3,1,Automatic,918.75,0
0,1,0,1,0,1,0,0,0,1,1,1,62.15,12,Automatic,2215.45,0
0,1,1,1,0,0,0,0,0,0,0,1,20.65,24,Automatic,1057.0,0
0,1,1,1,0,0,0,0,0,1,0,0,19.95,24,Mailed check,927.1,0
0,1,0,0,0,0,0,0,0,0,1,0,33.75,1,Mailed check,1009.25,0
0,1,1,1,0,0,1,1,0,0,1,1,82.05,1,Automatic,2570.2,0
1,0,0,1,0,0,0,0,1,0,1,0,74.7,1,Electronic check,74.7,0
0,1,1,1,1,1,0,1,1,1,1,0,84.0,24,Mailed check,5714.25,0
0,0,0,1,1,1,1,1,0,1,1,1,111.05,1,Automatic,7107.0,0
0,0,0,1,1,0,1,1,0,1,1,1,100.9,24,Automatic,7459.05,0
0,0,0,1,1,1,0,0,0,1,1,0,78.95,1,Electronic check,927.35,1
0,1,1,1,1,1,1,0,1,1,1,1,66.85,12,Automatic,4748.7,0
0,0,0,1,0,0,0,0,0,0,0,0,21.05,1,Mailed check,113.85,1
0,0,0,1,0,0,0,0,0,0,0,1,21.0,24,Automatic,1107.2,0
1,1,0,1,0,0,1,1,0,1,1,0,98.5,1,Electronic check,2514.5,1
0,0,0,1,0,0,0,0,0,0,0,0,20.2,1,Mailed check,20.2,0
0,1,1,1,0,0,0,0,0,0,0,0,19.45,1,Electronic check,19.45,0
0,0,0,1,1,0,0,1,1,0,1,1,95.0,12,Automatic,3605.6,0
1,1,0,0,0,0,1,1,0,0,1,1,45.55,12,Automatic,3027.25,0
0,1,0,1,1,0,1,1,1,1,1,1,110.0,24,Automatic,7611.85,1
0,0,0,0,0,0,0,0,0,0,1,0,24.3,1,Mailed check,100.2,0
0,1,1,1,1,1,1,0,0,1,1,0,104.15,12,Electronic check,7303.05,0
0,0,0,0,0,1,0,0,0,0,1,0,30.15,12,Mailed check,927.65,0
0,0,0,1,1,0,0,0,0,0,1,0,94.35,12,Mailed check,3921.3,0
0,1,1,1,0,0,0,0,0,0,0,1,19.4,24,Automatic,1363.25,0
0,1,0,1,1,1,1,0,0,1,1,0,96.75,1,Electronic check,5238.9,1
