SeniorCity,Partner,Dependents,Service1,Service2,Security,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,InternetService,AutoPayment_flag,Charges,Contract_months,Contract_x_Charges,PaymentMethod_simple,Demand,Class_flag
0,1,0,0,0,0,1,0,0,1,1,0,29.85,1,29.85,Electronic check,29.85,0
0,0,0,1,0,1,0,1,0,0,1,0,56.95,12,683.4000000000001,Mailed check,1889.5,0
0,0,0,1,0,1,1,0,0,1,1,0,53.85,1,53.85,Mailed check,108.15,1
0,0,0,0,0,1,0,1,1,0,1,1,42.3,12,507.59999999999997,Automatic,1840.75,0
0,0,0,1,0,0,0,0,0,1,1,0,70.7,1,70.7,Electronic check,151.65,1
0,0,0,1,1,0,0,1,0,1,1,0,99.65,1,99.65,Electronic check,820.5,1
0,0,1,1,1,0,1,0,0,1,1,1,89.1,1,89.1,Automatic,1949.4,0
0,0,0,0,0,1,0,0,0,0,1,0,29.75,1,29.75,Mailed check,301.9,0
0,1,0,1,1,0,0,1,1,1,1,0,104.8,1,104.8,Electronic check,3046.05,1
0,0,1,1,0,1,1,0,0,0,1,1,56.15,12,673.8,Automatic,3487.95,0
0,1,1,1,0,1,0,0,0,1,1,0,49.95,1,49.95,Mailed check,587.45,0
0,0,0,1,0,0,0,0,0,0,0,1,18.95,24,454.79999999999995,Automatic,326.8,0
0,1,0,1,1,0,0,1,0,0,1,1,100.35,12,1204.1999999999998,Automatic,5681.1,0
0,0,0,1,1,0,1,1,0,1,1,1,103.7,1,103.7,Automatic,5036.3,1
0,0,0,1,0,1,0,1,1,1,1,0,105.5,1,105.5,Electronic check,2686.05,0
0,1,1,1,1,1,1,1,1,0,1,1,113.25,24,2718.0,Automatic,7895.15,0
0,0,0,1,0,0,0,0,0,0,0,0,20.65,12,247.79999999999998,Mailed check,1022.95,0
0,0,1,1,1,1,0,1,0,0,1,1,106.7,24,2560.8,Automatic,7382.25,0
0,1,1,1,0,0,0,1,1,0,1,1,55.2,1,55.2,Automatic,528.35,1
0,0,0,1,0,0,1,1,0,1,1,0,90.05,1,90.05,Electronic check,1862.9,0
1,0,0,0,0,0,0,1,0,1,1,0,39.65,1,39.65,Electronic check,39.65,1
0,1,0,1,0,0,0,0,0,0,0,1,19.8,12,237.60000000000002,Automatic,202.25,0
0,0,0,1,0,0,0,0,0,0,0,0,20.15,1,20.15,Mailed check,20.15,1
0,1,0,1,1,0,1,0,1,1,1,1,59.9,24,1437.6,Automatic,3505.1,0
0,1,1,1,0,1,1,0,1,0,1,1,59.6,1,59.6,Automatic,2970.3,0
0,0,0,1,0,1,1,0,0,1,1,1,55.3,1,55.3,Automatic,1530.6,0
0,1,1,1,1,0,1,0,0,1,1,0,99.35,1,99.35,Electronic check,4749.15,1
0,1,1,0,0,0,1,0,0,0,1,0,30.2,1,30.2,Electronic check,30.2,1
0,1,0,1,1,1,1,1,1,1,1,1,90.25,24,2166.0,Automatic,6369.45,0
0,0,1,1,0,0,0,0,0,1,1,0,64.7,1,64.7,Mailed check,1093.1,1
1,1,0,1,1,1,1,1,1,1,1,1,96.35,24,2312.3999999999996,Automatic,6766.95,0
1,1,0,1,0,0,0,1,0,1,1,1,95.5,1,95.5,Automatic,181.65,0
0,1,1,1,0,1,1,1,1,0,1,0,66.15,12,793.8000000000001,Mailed check,1874.45,0
0,0,0,1,0,0,0,0,0,0,0,1,20.2,1,20.2,Automatic,20.2,0
1,0,0,1,0,0,0,0,0,0,1,1,45.25,1,45.25,Automatic,45.25,0
0,1,1,1,1,1,1,0,1,0,1,1,99.9,24,2397.6000000000004,Automatic,7251.7,0
0,0,0,1,0,0,0,0,0,1,1,0,69.7,1,69.7,Electronic check,316.9,1
0,0,0,1,0,0,0,1,0,1,1,1,74.8,1,74.8,Automatic,3548.3,0
0,0,0,1,1,0,1,1,0,1,1,0,106.35,1,106.35,Electronic check,3549.25,1
0,0,0,1,1,0,0,1,0,1,1,1,97.85,1,97.85,Automatic,1105.4,1
0,1,1,1,0,0,1,0,0,0,1,0,49.55,12,594.5999999999999,Mailed check,475.7,0
0,1,1,1,1,1,1,0,0,1,1,1,69.2,24,1660.8000000000002,Automatic,4872.35,0
0,1,1,1,0,0,0,0,0,0,0,0,20.75,12,249.0,Mailed check,418.25,0
0,0,0,1,1,1,1,1,1,1,1,1,79.85,24,1916.3999999999999,Automatic,4861.45,0
0,1,0,1,1,1,1,0,1,1,1,0,76.2,1,76.2,Electronic check,981.45,0
0,0,0,1,1,0,0,0,0,1,1,0,84.5,1,84.5,Electronic check,3906.7,0
0,0,0,1,0,0,1,0,0,0,1,0,49.25,1,49.25,Mailed check,97.0,0
0,0,0,1,0,0,0,0,0,1,1,0,80.65,1,80.65,Electronic check,144.15,1
0,0,0,1,1,1,0,0,1,1,1,1,79.75,24,1914.0,Automatic,4217.8,0
0,1,1,1,1,1,0,1,1,1,1,1,64.15,24,1539.6000000000001,Automatic,4254.1,0
